# SYNTHETIC DATA - FICTIONAL 'Kannan's Virtual Bank'. For AI-audit training only. No real persons or accounts.
txn_id,customer_id,date,channel,type,merchant_category,amount_inr,status
TXN50001,CUST1038,2026-01-06,Branch,DEBIT,Grocery,12000,SUCCESS
TXN50002,CUST1025,2026-04-18,Branch,CREDIT,Insurance,2300,SUCCESS
TXN50003,CUST1018,2026-04-22,ATM,DEBIT,EMI-Auto,25000,SUCCESS
TXN50004,CUST1030,2026-02-02,Branch,DEBIT,Restaurant,120,SUCCESS
TXN50005,CUST1028,2026-02-04,ATM,DEBIT,Salary-Credit,25000,SUCCESS
TXN50006,CUST1030,2026-03-25,NetBanking,CREDIT,Restaurant,5000,SUCCESS
TXN50007,CUST1027,2026-03-06,UPI,DEBIT,Insurance,120,PENDING
TXN50008,CUST1023,2026-02-27,UPI,CREDIT,Grocery,120,PENDING
TXN50009,CUST1013,2026-01-06,Branch,DEBIT,Electricity,48000,SUCCESS
TXN50010,CUST1037,2026-02-25,ATM,DEBIT,EMI-Auto,1499,SUCCESS
TXN50011,CUST1008,2026-02-11,NetBanking,DEBIT,Grocery,5000,SUCCESS
TXN50012,CUST1025,2026-04-12,Card,DEBIT,Mobile-Recharge,500,SUCCESS
TXN50013,CUST1020,2026-01-31,Branch,CREDIT,EMI-Auto,25000,SUCCESS
TXN50014,CUST1005,2026-05-10,NetBanking,DEBIT,Restaurant,48000,SUCCESS
TXN50015,CUST1024,2026-04-28,Card,DEBIT,Insurance,5000,SUCCESS
TXN50016,CUST1035,2026-05-04,ATM,DEBIT,Transfer,5000,SUCCESS
TXN50017,CUST1016,2026-01-23,NetBanking,CREDIT,Mobile-Recharge,48000,SUCCESS
TXN50018,CUST1025,2026-03-28,UPI,DEBIT,EMI-Auto,1499,SUCCESS
TXN50019,CUST1023,2026-03-08,NetBanking,DEBIT,Transfer,5000,SUCCESS
TXN50020,CUST1034,2026-02-18,UPI,DEBIT,Restaurant,48000,SUCCESS
TXN50021,CUST1016,2026-05-02,ATM,DEBIT,Grocery,500,SUCCESS
TXN50022,CUST1026,2026-03-04,NetBanking,DEBIT,EMI-Auto,48000,SUCCESS
TXN50023,CUST1023,2026-04-19,Branch,DEBIT,Pharmacy,5000,SUCCESS
TXN50024,CUST1015,2026-01-31,Card,DEBIT,Insurance,1499,SUCCESS
TXN50025,CUST1031,2026-03-12,Branch,CREDIT,Insurance,5000,PENDING
TXN50026,CUST1013,2026-03-17,Card,DEBIT,Salary-Credit,120,SUCCESS
TXN50027,CUST1009,2026-03-12,UPI,CREDIT,Insurance,5000,SUCCESS
TXN50028,CUST1009,2026-05-06,UPI,CREDIT,Transfer,5000,SUCCESS
TXN50029,CUST1029,2026-03-29,Card,CREDIT,Salary-Credit,48000,SUCCESS
TXN50030,CUST1005,2026-04-13,ATM,DEBIT,Grocery,1499,SUCCESS
TXN50031,CUST1037,2026-03-19,UPI,CREDIT,Fuel,25000,SUCCESS
TXN50032,CUST1040,2026-02-27,Branch,DEBIT,Pharmacy,5000,FAILED
TXN50033,CUST1028,2026-03-20,Branch,DEBIT,Transfer,500,PENDING
TXN50034,CUST1014,2026-02-24,NetBanking,DEBIT,Electricity,2300,SUCCESS
TXN50035,CUST1005,2026-02-10,UPI,DEBIT,Transfer,48000,SUCCESS
TXN50036,CUST1015,2026-03-15,NetBanking,CREDIT,Pharmacy,500,SUCCESS
TXN50037,CUST1017,2026-05-31,Card,DEBIT,Insurance,2300,SUCCESS
TXN50038,CUST1018,2026-02-06,UPI,DEBIT,Salary-Credit,5000,SUCCESS
TXN50039,CUST1030,2026-03-19,ATM,CREDIT,Insurance,48000,SUCCESS
TXN50040,CUST1039,2026-01-11,ATM,CREDIT,Transfer,5000,SUCCESS
TXN50041,CUST1015,2026-05-28,Branch,CREDIT,Salary-Credit,120,SUCCESS
TXN50042,CUST1012,2026-05-01,Branch,DEBIT,Salary-Credit,1499,PENDING
TXN50043,CUST1028,2026-05-06,UPI,DEBIT,Restaurant,12000,SUCCESS
TXN50044,CUST1007,2026-02-11,NetBanking,DEBIT,Pharmacy,5000,SUCCESS
TXN50045,CUST1026,2026-05-21,UPI,DEBIT,EMI-Auto,5000,SUCCESS
TXN50046,CUST1026,2026-05-12,UPI,DEBIT,Insurance,48000,SUCCESS
TXN50047,CUST1013,2026-05-13,NetBanking,DEBIT,Pharmacy,48000,SUCCESS
TXN50048,CUST1014,2026-03-10,Branch,DEBIT,Salary-Credit,48000,FAILED
TXN50049,CUST1032,2026-02-01,UPI,CREDIT,Transfer,2300,SUCCESS
TXN50050,CUST1020,2026-05-22,UPI,DEBIT,Fuel,2300,PENDING
TXN50051,CUST1008,2026-04-29,UPI,DEBIT,Electricity,48000,PENDING
TXN50052,CUST1019,2026-05-11,NetBanking,DEBIT,Pharmacy,48000,SUCCESS
TXN50053,CUST1036,2026-02-07,ATM,DEBIT,Transfer,1499,FAILED
TXN50054,CUST1018,2026-04-17,NetBanking,CREDIT,Insurance,5000,FAILED
TXN50055,CUST1019,2026-03-18,Branch,DEBIT,Pharmacy,1499,SUCCESS
TXN50056,CUST1031,2026-03-30,NetBanking,DEBIT,Insurance,25000,SUCCESS
TXN50057,CUST1021,2026-02-18,Card,DEBIT,Mobile-Recharge,25000,SUCCESS
TXN50058,CUST1031,2026-04-08,ATM,CREDIT,Electricity,48000,PENDING
TXN50059,CUST1009,2026-05-09,Branch,DEBIT,Fuel,48000,SUCCESS
TXN50060,CUST1030,2026-01-04,Card,DEBIT,Electricity,500,SUCCESS
TXN50061,CUST1017,2026-03-28,Branch,DEBIT,Fuel,12000,FAILED
TXN50062,CUST1035,2026-04-08,NetBanking,DEBIT,Pharmacy,120,SUCCESS
TXN50063,CUST1016,2026-03-15,Card,CREDIT,Restaurant,500,SUCCESS
TXN50064,CUST1007,2026-04-24,Card,DEBIT,Grocery,120,SUCCESS
TXN50065,CUST1004,2026-03-17,NetBanking,DEBIT,Electricity,2300,SUCCESS
TXN50066,CUST1037,2026-02-16,Card,DEBIT,Transfer,25000,SUCCESS
TXN50067,CUST1016,2026-05-08,Branch,DEBIT,Pharmacy,5000,SUCCESS
TXN50068,CUST1001,2026-04-30,NetBanking,DEBIT,Electricity,500,SUCCESS
TXN50069,CUST1023,2026-05-31,NetBanking,DEBIT,Restaurant,5000,SUCCESS
TXN50070,CUST1020,2026-02-20,ATM,CREDIT,Fuel,2300,SUCCESS
TXN50071,CUST1023,2026-05-28,NetBanking,CREDIT,Salary-Credit,120,PENDING
TXN50072,CUST1026,2026-03-12,UPI,DEBIT,Grocery,48000,FAILED
TXN50073,CUST1019,2026-02-28,Branch,CREDIT,Mobile-Recharge,2300,SUCCESS
TXN50074,CUST1009,2026-01-25,UPI,DEBIT,Pharmacy,120,SUCCESS
TXN50075,CUST1009,2026-01-24,NetBanking,DEBIT,Restaurant,1499,SUCCESS
TXN50076,CUST1035,2026-04-04,Branch,DEBIT,Salary-Credit,1499,SUCCESS
TXN50077,CUST1031,2026-03-17,NetBanking,CREDIT,Pharmacy,500,SUCCESS
TXN50078,CUST1015,2026-04-12,Branch,DEBIT,Restaurant,120,SUCCESS
TXN50079,CUST1008,2026-04-27,NetBanking,DEBIT,Salary-Credit,25000,FAILED
TXN50080,CUST1024,2026-01-28,Card,DEBIT,Transfer,12000,PENDING
TXN50081,CUST1015,2026-01-17,ATM,CREDIT,Salary-Credit,25000,SUCCESS
TXN50082,CUST1003,2026-01-10,NetBanking,CREDIT,Fuel,500,SUCCESS
TXN50083,CUST1035,2026-02-04,ATM,DEBIT,Insurance,25000,SUCCESS
TXN50084,CUST1010,2026-04-17,UPI,CREDIT,Transfer,25000,PENDING
TXN50085,CUST1018,2026-01-09,NetBanking,DEBIT,Pharmacy,2300,FAILED
TXN50086,CUST1007,2026-04-05,Branch,CREDIT,EMI-Auto,120,SUCCESS
TXN50087,CUST1013,2026-02-01,ATM,DEBIT,Mobile-Recharge,120,SUCCESS
TXN50088,CUST1022,2026-03-04,Card,CREDIT,Mobile-Recharge,500,FAILED
TXN50089,CUST1036,2026-02-23,Branch,DEBIT,Mobile-Recharge,12000,SUCCESS
TXN50090,CUST1039,2026-01-01,NetBanking,CREDIT,Electricity,1499,SUCCESS
TXN50091,CUST1012,2026-01-29,UPI,DEBIT,EMI-Auto,2300,SUCCESS
TXN50092,CUST1002,2026-02-14,NetBanking,DEBIT,Restaurant,500,SUCCESS
TXN50093,CUST1031,2026-04-25,NetBanking,DEBIT,Fuel,48000,SUCCESS
TXN50094,CUST1040,2026-01-12,Branch,DEBIT,Grocery,120,PENDING
TXN50095,CUST1026,2026-04-20,UPI,DEBIT,Pharmacy,500,FAILED
TXN50096,CUST1021,2026-02-07,UPI,DEBIT,Transfer,12000,SUCCESS
TXN50097,CUST1039,2026-05-16,NetBanking,DEBIT,Transfer,25000,SUCCESS
TXN50098,CUST1008,2026-05-22,Card,DEBIT,Mobile-Recharge,25000,SUCCESS
TXN50099,CUST1030,2026-04-13,ATM,CREDIT,EMI-Auto,25000,SUCCESS
TXN50100,CUST1017,2026-04-06,Card,DEBIT,Pharmacy,500,SUCCESS
TXN50101,CUST1006,2026-01-24,ATM,DEBIT,EMI-Auto,1499,SUCCESS
TXN50102,CUST1038,2026-05-24,Branch,DEBIT,Fuel,25000,SUCCESS
TXN50103,CUST1028,2026-01-14,NetBanking,DEBIT,EMI-Auto,500,SUCCESS
TXN50104,CUST1014,2026-02-09,ATM,DEBIT,Fuel,12000,FAILED
TXN50105,CUST1024,2026-01-30,NetBanking,DEBIT,Restaurant,120,SUCCESS
TXN50106,CUST1018,2026-01-08,Card,DEBIT,Salary-Credit,12000,SUCCESS
TXN50107,CUST1012,2026-02-06,Branch,DEBIT,Fuel,1499,SUCCESS
TXN50108,CUST1002,2026-01-24,Branch,DEBIT,Restaurant,48000,SUCCESS
